2013-04-27 22:43:43 status half-installed login 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:43 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:43 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:44 install passwd <none> 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:44 status half-installed passwd 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:44 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:44 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2013-04-27 22:43:44 install libslang2 <none> 2.2.2-4
2013-04-27 22:43:44 status half-installed libslang2 2.2.2-4
2013-04-27 22:43:45 status unpacked libslang2 2.2.2-4
2013-04-27 22:43:45 status unpacked libslang2 2.2.2-4
2013-04-27 22:43:45 install initscripts <none> 2.88dsf-13.1+squeeze1
2013-04-27 22:43:45 status half-installed initscripts 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status unpacked initscripts 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status unpacked initscripts 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 install sysv-rc <none> 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status half-installed sysv-rc 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 install sysvinit-utils <none> 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status half-installed sysvinit-utils 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2013-04-27 22:43:46 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2013-04-27 22:43:47 install sysvinit <none> 2.88dsf-13.1+squeeze1
2013-04-27 22:43:47 status half-installed sysvinit 2.88dsf-13.1+squeeze1
2013-04-27 22:43:47 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2013-04-27 22:43:47 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2013-04-27 22:43:47 install tar <none> 1.23-3
2013-04-27 22:43:47 status half-installed tar 1.23-3
2013-04-27 22:43:48 status unpacked tar 1.23-3
2013-04-27 22:43:48 status unpacked tar 1.23-3
2013-04-27 22:43:48 install tzdata <none> 2012g-0squeeze1
2013-04-27 22:43:48 status half-installed tzdata 2012g-0squeeze1
2013-04-27 22:43:49 status unpacked tzdata 2012g-0squeeze1
2013-04-27 22:43:49 status unpacked tzdata 2012g-0squeeze1
2013-04-27 22:43:49 install bsdutils <none> 1:2.17.2-9
2013-04-27 22:43:49 status half-installed bsdutils 1:2.17.2-9
2013-04-27 22:43:49 status unpacked bsdutils 1:2.17.2-9
2013-04-27 22:43:49 status unpacked bsdutils 1:2.17.2-9
2013-04-27 22:43:50 install libblkid1 <none> 2.17.2-9
2013-04-27 22:43:50 status half-installed libblkid1 2.17.2-9
2013-04-27 22:43:50 status unpacked libblkid1 2.17.2-9
2013-04-27 22:43:50 status unpacked libblkid1 2.17.2-9
2013-04-27 22:43:50 install libuuid1 <none> 2.17.2-9
2013-04-27 22:43:50 status half-installed libuuid1 2.17.2-9
2013-04-27 22:43:50 status unpacked libuuid1 2.17.2-9
2013-04-27 22:43:51 status unpacked libuuid1 2.17.2-9
2013-04-27 22:43:51 install mount <none> 2.17.2-9
2013-04-27 22:43:51 status half-installed mount 2.17.2-9
2013-04-27 22:43:51 status unpacked mount 2.17.2-9
2013-04-27 22:43:51 status unpacked mount 2.17.2-9
2013-04-27 22:43:51 install util-linux <none> 2.17.2-9
2013-04-27 22:43:51 status half-installed util-linux 2.17.2-9
2013-04-27 22:43:52 status unpacked util-linux 2.17.2-9
2013-04-27 22:43:52 status unpacked util-linux 2.17.2-9
